"Feature","Comparison","p_value","p_value_adj","Significativo"
"Application_mode","Dropout vs Graduate",7.45452601266501e-68,2.2363578037995e-67,"SI"
"Application_mode","Dropout vs Enrolled",2.32997629588873e-16,3.49496444383309e-16,"SI"
"Application_mode","Enrolled vs Graduate",5.81187987184603e-08,5.81187987184603e-08,"SI"
"Application_order","Dropout vs Graduate",5.93869141356316e-10,1.78160742406895e-09,"SI"
"Application_order","Enrolled vs Graduate",0.000431599430218908,0.000647399145328362,"SI"
"Application_order","Dropout vs Enrolled",0.281483681810321,0.281483681810321,"NO"
"Attendance","Dropout vs Graduate",4.72874669704163e-07,1.41862400911249e-06,"SI"
"Attendance","Dropout vs Enrolled",0.000670863334246458,0.00100629500136969,"SI"
"Attendance","Enrolled vs Graduate",0.827102625466434,0.827102625466434,"NO"
"Course","Dropout vs Graduate",6.50842659266343e-59,1.95252797779903e-58,"SI"
"Course","Enrolled vs Graduate",1.86202896408407e-45,2.7930434461261e-45,"SI"
"Course","Dropout vs Enrolled",0.0189707773771713,0.0189707773771713,"SI"
"Debtor","Dropout vs Graduate",6.1414239099175e-58,1.84242717297525e-57,"SI"
"Debtor","Enrolled vs Graduate",3.78264373298599e-11,5.67396559947898e-11,"SI"
"Debtor","Dropout vs Enrolled",7.17787623829518e-10,7.17787623829518e-10,"SI"
"Displaced","Dropout vs Graduate",3.90637278521711e-14,1.17191183556513e-13,"SI"
"Displaced","Dropout vs Enrolled",0.000898239070596183,0.00134735860589427,"SI"
"Displaced","Enrolled vs Graduate",0.00910716172464251,0.00910716172464251,"SI"
"Fathers_occupation","Dropout vs Graduate",6.95420724527836e-16,2.08626217358351e-15,"SI"
"Fathers_occupation","Dropout vs Enrolled",4.31290525267859e-13,6.46935787901789e-13,"SI"
"Fathers_occupation","Enrolled vs Graduate",0.00519033482959689,0.00519033482959689,"SI"
"Fathers_qualification","Dropout vs Graduate",1.01166763018466e-22,3.03500289055397e-22,"SI"
"Fathers_qualification","Dropout vs Enrolled",8.43059255849753e-14,1.26458888377463e-13,"SI"
"Fathers_qualification","Enrolled vs Graduate",0.000153416830975566,0.000153416830975566,"SI"
"Gender","Dropout vs Graduate",8.25597359233532e-52,2.47679207770059e-51,"SI"
"Gender","Enrolled vs Graduate",1.6406292155489e-13,2.46094382332336e-13,"SI"
"Gender","Dropout vs Enrolled",1.66961936824728e-06,1.66961936824728e-06,"SI"
"Marital_status","Dropout vs Graduate",5.76768379196533e-12,1.7303051375896e-11,"SI"
"Marital_status","Dropout vs Enrolled",6.92323901276272e-06,1.03848585191441e-05,"SI"
"Marital_status","Enrolled vs Graduate",0.332548864732186,0.332548864732186,"NO"
"Mothers_occupation","Dropout vs Graduate",3.62594585070701e-12,1.0877837552121e-11,"SI"
"Mothers_occupation","Dropout vs Enrolled",9.18044306685951e-10,1.37706646002893e-09,"SI"
"Mothers_occupation","Enrolled vs Graduate",0.000399964915000886,0.000399964915000886,"SI"
"Mothers_qualification","Dropout vs Graduate",1.01166763018466e-22,3.03500289055397e-22,"SI"
"Mothers_qualification","Dropout vs Enrolled",8.43059255849753e-14,1.26458888377463e-13,"SI"
"Mothers_qualification","Enrolled vs Graduate",0.000153416830975566,0.000153416830975566,"SI"
"Previous_qualification","Dropout vs Graduate",5.05773061892343e-26,1.51731918567703e-25,"SI"
"Previous_qualification","Dropout vs Enrolled",1.00141841824788e-17,1.50212762737182e-17,"SI"
"Previous_qualification","Enrolled vs Graduate",0.00215766337477392,0.00215766337477392,"SI"
"Scholarship_holder","Dropout vs Graduate",5.10907504501273e-79,1.53272251350382e-78,"SI"
"Scholarship_holder","Enrolled vs Graduate",2.33124669090462e-28,3.49687003635693e-28,"SI"
"Scholarship_holder","Dropout vs Enrolled",1.86275930753058e-06,1.86275930753058e-06,"SI"
"Tuition_fees_up_to_date","Dropout vs Graduate",9.18912423994229e-156,2.75673727198269e-155,"SI"
"Tuition_fees_up_to_date","Dropout vs Enrolled",2.05779020292456e-47,3.08668530438684e-47,"SI"
"Tuition_fees_up_to_date","Enrolled vs Graduate",6.03080638367092e-10,6.03080638367092e-10,"SI"
